COMMUNITY,STATION_NAME,STARTDATE,TOTAL_BIKES
Armour Square,Normal Ave & Archer Ave,2013-08-16,2
Armour Square,Normal Ave & Archer Ave,2013-08-17,2
Armour Square,Normal Ave & Archer Ave,2013-08-18,5
Armour Square,Normal Ave & Archer Ave,2013-08-19,2
Armour Square,Normal Ave & Archer Ave,2013-08-20,6
Armour Square,Normal Ave & Archer Ave,2013-08-21,9
Armour Square,Normal Ave & Archer Ave,2013-08-23,1
Armour Square,Normal Ave & Archer Ave,2013-08-24,3
Armour Square,Normal Ave & Archer Ave,2013-08-25,8
Armour Square,Normal Ave & Archer Ave,2013-08-26,2
Armour Square,Normal Ave & Archer Ave,2013-08-27,4
Armour Square,Normal Ave & Archer Ave,2013-08-28,2
Armour Square,Normal Ave & Archer Ave,2013-08-29,5
Armour Square,Normal Ave & Archer Ave,2013-08-30,4
Armour Square,Normal Ave & Archer Ave,2013-08-31,4
Armour Square,Normal Ave & Archer Ave,2013-09-01,4
Armour Square,Normal Ave & Archer Ave,2013-09-02,8
Armour Square,Normal Ave & Archer Ave,2013-09-03,4
Armour Square,Normal Ave & Archer Ave,2013-09-04,4
Armour Square,Normal Ave & Archer Ave,2013-09-05,2
Armour Square,Normal Ave & Archer Ave,2013-09-06,2
Armour Square,Normal Ave & Archer Ave,2013-09-07,1
Armour Square,Normal Ave & Archer Ave,2013-09-08,10
Armour Square,Normal Ave & Archer Ave,2013-09-09,3
Armour Square,Normal Ave & Archer Ave,2013-09-10,6
Armour Square,Normal Ave & Archer Ave,2013-09-11,3
Armour Square,Normal Ave & Archer Ave,2013-09-12,4
Armour Square,Normal Ave & Archer Ave,2013-09-13,4
Armour Square,Normal Ave & Archer Ave,2013-09-14,4
Armour Square,Normal Ave & Archer Ave,2013-09-15,2
Armour Square,Normal Ave & Archer Ave,2013-09-16,9
Armour Square,Normal Ave & Archer Ave,2013-09-17,4
Armour Square,Normal Ave & Archer Ave,2013-09-18,2
Armour Square,Normal Ave & Archer Ave,2013-09-19,6
Armour Square,Normal Ave & Archer Ave,2013-09-20,2
